;dc_nome;cd_estacao;vl_longitude;vl_latitude;vl_altitude;year;temp_media_C
0;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1961.0;28.71819012797082
1;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1962.0;29.132584269662917
2;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1970.0;27.965277777777764
3;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1971.0;28.37062146892655
4;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1972.0;27.895851528384263
5;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1973.0;28.53566591422116
6;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1974.0;27.53461187214607
7;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1975.0;27.823287671232862
8;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1976.0;27.661111111111072
9;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1977.0;28.12584474885842
10;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1978.0;28.154885844748893
11;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1979.0;27.849451553930493
12;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1980.0;28.16210317460319
13;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1981.0;27.988223552894254
14;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1982.0;28.466880146386107
15;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1983.0;28.83653846153844
16;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1984.0;27.93979963570128
17;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1985.0;27.95484171322163
18;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1986.0;28.109216589861763
19;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1987.0;28.659822419533864
20;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1988.0;28.6380952380952
21;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1989.0;27.870027624309405
22;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1990.0;28.091584158415834
23;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1992.0;28.20694006309151
24;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1993.0;28.128803716608576
25;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1994.0;28.394794520547954
26;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1995.0;28.496413793103425
27;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1996.0;28.54885844748854
28;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1997.0;29.16148148148145
29;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1998.0;29.355251141552486
30;BOA VISTA;82024;-60.66194444;2.82944443;84.18;1999.0;28.00548947849959
31;BOA VISTA;82024;-60.66194444;2.82944443;84.18;2000.0;28.070642201834975
32;BOA VISTA;82024;-60.66194444;2.82944443;84.18;2001.0;28.511141804788245
33;BOA VISTA;82024;-60.66194444;2.82944443;84.18;2002.0;28.789981617647125
34;BOA VISTA;82024;-60.66194444;2.82944443;84.18;2003.0;28.89623507805334
35;BOA VISTA;82024;-60.66194444;2.82944443;84.18;2004.0;28.877428307123104
36;BOA VISTA;82024;-60.66194444;2.82944443;84.18;2005.0;28.918749999999996
37;BOA VISTA;82024;-60.66194444;2.82944443;84.18;2006.0;28.831227106227036
38;BOA VISTA;82024;-60.66194444;2.82944443;84.18;2007.0;28.785595567867002
39;BOA VISTA;82024;-60.66194444;2.82944443;84.18;2008.0;28.502459016393477
40;BOA VISTA;82024;-60.66194444;2.82944443;84.18;2009.0;29.394838709677536
41;BOA VISTA;82024;-60.66194444;2.82944443;84.18;2010.0;28.609223744292244
42;BOA VISTA;82024;-60.66194444;2.82944443;84.18;2011.0;28.573002754820962
43;BOA VISTA;82024;-60.66194444;2.82944443;84.18;2012.0;28.780692167577413
44;BOA VISTA;82024;-60.66194444;2.82944443;84.18;2013.0;28.832568807339463
45;BOA VISTA;82024;-60.66194444;2.82944443;84.18;2014.0;29.15562015503875
46;BOA VISTA;82024;-60.66194444;2.82944443;84.18;2015.0;28.55360419397118
47;BOA VISTA;82024;-60.66194444;2.82944443;84.18;2016.0;27.995632530120474
48;BOA VISTA;82024;-60.66194444;2.82944443;84.18;2017.0;27.667924528301896
49;BOA VISTA;82024;-60.66194444;2.82944443;84.18;2018.0;28.509501738122847
50;BOA VISTA;82024;-60.66194444;2.82944443;84.18;2019.0;29.119382022471914
51;BOA VISTA;82024;-60.66194444;2.82944443;84.18;2020.0;29.091948764867332
52;BOA VISTA;82024;-60.66194444;2.82944443;84.18;2021.0;28.444344344344387
53;CARACARAI;82042;-61.12083332;1.83249999;51.99;1970.0;27.642323651452287
