dc_nome,cd_estacao,vl_longitude,vl_latitude,vl_altitude,year,fall_mean,fall_min,fall_max,fall_median,winter_mean,winter_min,winter_max,winter_median,spring_mean,spring_min,spring_max,spring_median,summer_mean,summer_min,summer_max,summer_median,year_mean,year_min,year_max,year_median
BOA VISTA,82024,-60.66194444,2.82944443,84.18,1961.0,26.856521739130436,22.8,28.7,26.9,25.607446808510634,21.7,28.9,25.55,26.850561797752817,21.6,29.8,27.2,26.406666666666666,23.9,27.9,26.3,26.422465753424653,21.6,29.8,26.7
BOA VISTA,82024,-60.66194444,2.82944443,84.18,1970.0,26.19130434782609,22.8,29.8,26.0,25.34878048780487,22.0,28.5,25.0,,,,,27.135593220338972,24.1,29.2,27.1,26.301562500000014,22.0,29.8,26.1
BOA VISTA,82024,-60.66194444,2.82944443,84.18,1972.0,25.7195652173913,22.0,28.5,26.0,25.9968085106383,21.5,28.5,26.05,27.4948717948718,23.2,29.5,28.0,25.871249999999996,21.0,27.5,26.0,26.071803278688535,21.0,29.5,26.0
BOA VISTA,82024,-60.66194444,2.82944443,84.18,1973.0,26.445652173913043,23.0,29.5,26.5,25.109375000000004,22.6,27.8,25.25,25.925842696629214,22.8,28.0,26.1,26.71566265060241,23.9,28.3,26.9,26.220608108108127,22.6,29.5,26.5
BOA VISTA,82024,-60.66194444,2.82944443,84.18,1974.0,25.365217391304352,21.5,27.5,25.5,24.413829787234032,20.2,27.2,24.35,25.938202247191008,22.2,27.8,26.0,24.942222222222224,22.3,27.0,25.0,25.155616438356187,20.2,27.8,25.3
BOA VISTA,82024,-60.66194444,2.82944443,84.18,1975.0,25.51086956521739,22.0,27.7,25.95,24.46914893617022,19.4,29.9,24.45,26.208988764044943,22.7,27.8,26.5,24.99888888888889,21.9,26.5,25.2,25.28657534246576,19.4,29.9,25.3
BOA VISTA,82024,-60.66194444,2.82944443,84.18,1976.0,24.62826086956521,22.0,26.8,24.7,24.81914893617021,0.0,27.6,25.25,26.905617977528088,23.8,29.3,27.0,24.801098901098896,23.0,27.2,24.8,25.274043715846997,0.0,29.3,25.2
BOA VISTA,82024,-60.66194444,2.82944443,84.18,1977.0,25.194565217391315,21.8,27.8,25.3,25.235106382978717,22.1,28.4,25.45,26.596629213483144,23.8,29.0,26.8,25.572222222222226,23.0,27.5,25.6,25.640000000000008,21.8,29.0,25.8
BOA VISTA,82024,-60.66194444,2.82944443,84.18,1978.0,25.583695652173912,22.3,27.9,25.7,25.014893617021272,21.3,28.3,25.2,26.594382022471912,23.0,29.2,26.8,25.92999999999999,24.3,28.0,25.9,25.76904109589043,21.3,29.2,26.0
BOA VISTA,82024,-60.66194444,2.82944443,84.18,1979.0,24.930434782608685,22.2,27.0,24.8,25.046808510638293,21.6,28.2,24.9,26.485393258426974,23.4,28.8,26.7,25.470000000000006,23.6,27.8,25.4,25.472602739725993,21.6,28.8,25.5
BOA VISTA,82024,-60.66194444,2.82944443,84.18,1980.0,24.940322580645155,22.5,29.6,25.0,25.240425531914898,21.4,28.6,25.4,26.621348314606752,23.2,29.0,26.6,25.553846153846155,23.6,27.6,25.5,25.635714285714275,21.4,29.6,25.6
BOA VISTA,82024,-60.66194444,2.82944443,84.18,1981.0,25.374999999999996,22.0,28.6,25.2,24.437234042553197,20.4,27.2,24.4,26.63370786516855,23.0,28.5,26.8,25.776271186440685,23.2,27.7,26.0,25.51736526946108,20.4,28.6,25.6
BOA VISTA,82024,-60.66194444,2.82944443,84.18,1982.0,25.278260869565216,22.6,27.3,25.4,25.68617021276596,21.2,28.7,25.8,27.100000000000012,22.0,28.2,27.4,25.681111111111107,22.0,28.0,25.8,25.9268493150685,21.2,28.7,26.0
BOA VISTA,82024,-60.66194444,2.82944443,84.18,1983.0,26.149450549450542,22.4,28.4,26.4,25.864893617021277,23.0,27.6,26.05,26.88426966292133,23.6,28.8,27.0,26.39777777777778,24.6,28.6,26.2,26.317032967032965,22.4,28.8,26.4
